Address,Balance,Token
0x3da8440b247f57d0cd49226d64735e245a631c05,99.0000,"MLN"
0x647ba24325a9c8a2ac0f929a5866d4a434831285,34.8518,"MLN"
0x03ec3c6c86b724f415112377824db9c865ff8f2d,5.4982,"MLN"
0x16c103adea40c1fcc85b944eeeed4d1cf82783a1,40.0000,"MLN"
0xc975454f22672a1dae3aa36f0773c789c9a08631,0.9264,"MLN"
0xf4a2a12a1020eb73a2c03d5fe3561a096a73d25c,400.9335,"MLN"
0x794ec4fff702a8430fbac79fedae4bfc04fec072,4.0000,"MLN"
0x002f9caf40a444f20813da783d152bdfaf42852f,100.0000,"MLN"
0xb8f45914995a7f65a927265fee3a0cf922bd2580,6.1896,"MLN"
0x1554aa0026292d03cfc8a2769df8dd4d169d590a,104657.4665,"MLN"
0x94cea824bf2273007742e98597867ab07d0a12c5,0.8466,"MLN"
0x266f775bfc017ecc9d07232a1f7fe1e6a73b17ef,30.0461,"MLN"
0x5719f49b720da68856f4b9e708f25645bdbc4b41,9.7530,"MLN"
0x56ab7bf904911422a311502e7cb947d6709be259,2.9970,"MLN"
0xfd4ee0881d66b5178acb9802852010e4897f2fcc,2.9999,"MLN"
0xd4ebcd72fec7accbe6a2c6f0e3a4944e23778134,16.4507,"MLN"
0xc46f3b769baff803c444b1d48a9f03811bc23b53,0.0000,"MLN"
0xce5a1239cd800ae5f59c89f889321dadec0f0a22,0.3345,"MLN"
0x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,10.9971,"MLN"
0x1ee61f4e055a62aba18e54c2d10080b2e83469de,0.1954,"MLN"
0x815a853c12e7b3d6dd25a9caff59557d12b7e41d,4.9970,"MLN"
0x198670956ac3dd32273ca3e54a2b890d01e00c89,5.1730,"MLN"
0xbac51f193cd20fe8384810abafe5b938f557fcfe,15.8132,"MLN"
0x76071d20d6b6b57edf8fd02be6877e43ea0f02c6,101.7757,"MLN"
0x65f142a0c0f8aa1c8e79761df778fe6601489dca,0.0000,"MLN"
0x3a7f901db068baf6419adf85ecd72dc752b6f23d,0.0000,"MLN"
0x475ddd4146b3af52265a0272d09786e5a6b95e4e,9.9550,"MLN"
0x00db524dbc88c748198544390c9a964871b1da28,10.1209,"MLN"
0xbceb804a4195a05d0d1b2d0801c44bd238f7a7fe,4.9900,"MLN"
0x00e9fec55aec66b9aece8e678fa8c99804afc334,438.6433,"MLN"
0x16b3a4901c44aaba9d84138e14d0bb72b774fb35,0.0000,"MLN"
0x701d0ecb3ba780de7b2b36789aec4493a426010a,0.8683,"MLN"
0xbedab5c8a6946c9776b7c84e1da801e09d81c876,118.2519,"MLN"
0x9ff14ce7c5a5f57587a774b7a64eab25bf6462d7,1.2557,"MLN"
0xe9e325b344a385f4fa8cc4c76662493588c7f3e3,0.4229,"MLN"
0x7ce4a15b0241860e2d98cef1e87fb51f8962e5eb,45.8716,"MLN"
0x033484274a3181685bf73aac3c89568e4d4cacad,0.5993,"MLN"
0xa58f944b50244e0a4b64fa530b11cf7b7ebf7d3d,8.0292,"MLN"
0x667b5e42a5c80f5de2fecd34a31f3e7ed28644a7,0.0970,"MLN"
0xd03c4ef00e7b6bc49c02d3f0cd9547e0fd252469,9.9900,"MLN"
0x9da02f8088953919954aa28d07ee0373297e4f43,3.9673,"MLN"
0x05cf885586ed8532d033718597d3fdcdddf597e7,1.5516,"MLN"
0x3c1de6f0f487aa12cf650349a7d0f9cace6403e4,19.4857,"MLN"
0xdcd6af93812f4992dc16b468b13f43be49980b9b,20.0140,"MLN"
0x7142d70b6d786b3c6c51fdaab76b3c152cb18140,108.9582,"MLN"
0x17d621edf1e26c8580ff363a3e1ca4e2865dd47f,1.2488,"MLN"
0x77777e7927752b366a28ec6ba1f44a019600b8d9,2.3345,"MLN"
0x122d018ccae9c910e69b19a3d7062b190afb15b6,6.5128,"MLN"
0x4671c2efc2aa344c3d0adb315ff90959b9a6f3d4,2.3345,"MLN"
0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,0.5308,"MLN"
0xa14b360077297c5286f01695fc84964bb86740b4,1.0000,"MLN"
0x16c41f283121a8445d31c0e831ff85f9e01f568e,14.2519,"MLN"
0xd98b6dde67ec4cd8a689300990013fb8125f9403,17.4246,"MLN"
0xa838e871a02c6d883bf004352fc7dac8f781fed6,44.7806,"MLN"
0x2a11e8e05d9ddaaf3ef10a0d9f36457396383d35,100.0285,"MLN"
0xb87d40370e03e80f93331d6c38d26e553e96a184,899.9191,"MLN"
0x4761df1edb4dee36e2161a31becba39db20b6363,97.9970,"MLN"
0x8ed876fded3699c590be3e12cef56e23376eff3b,38.1101,"MLN"
0xf4d688879c58ccd1f4cd5db9941040972ffe8a3a,0.3474,"MLN"
0xa7115825a8f2250df2a8f73e062ed047cf9df1f7,25.0000,"MLN"
0xa4ae0670fef491ee4c98ad89a1281ab0fb752472,46.5769,"MLN"
0xad2b279f3388a25c25ea38d16741d95bda3774a6,2.5236,"MLN"
0x50bfa3f0858a39bd016ff479092bc41114a5c0c6,0.0871,"MLN"
